capital_scale,total_pnl_usd,n_trades,n_days_with_pnl,mean_pnl_per_trade_usd,hit_rate,sharpe,sortino,max_drawdown_usd,avg_entry_cost_bps,avg_exit_cost_bps
0.25,4690.818327974276,2,2,2345.409163987138,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
0.5,9381.636655948552,2,2,4690.818327974276,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
1.0,18763.273311897105,2,2,9381.636655948552,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
2.0,37526.54662379421,2,2,18763.273311897105,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
4.0,75053.09324758842,2,2,37526.54662379421,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
