threshold_usd,n_markets_mean,total_pnl_usd,n_trades,n_days_with_pnl,mean_pnl_per_trade_usd,hit_rate,sharpe,sortino,max_drawdown_usd,avg_entry_cost_bps,avg_exit_cost_bps
100000.0,12.818181818181818,18763.273311897105,2,2,9381.636655948552,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
300000.0,8.454545454545455,18763.273311897105,2,2,9381.636655948552,1.0,11.242075962405295,0.0,0.0,60090.65217391304,120.10010010010019
500000.0,6.7272727272727275,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000.0,3.5454545454545454,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
