market_id,entry_date,exit_date,direction,entry_price,exit_price,gross_pnl,net_pnl,position_size,whale_address,category,reason,market_title,market_url,whale_token_side,whale_score,whale_winrate,taker_address,signal_trade_size_usd,market_end_date,resolution_outcome
0x4f6be3a3a4d10c128211a0a430e44de4b66e7e9f7ab02a0393f1f4ad924ad980,2025-11-24,2025-11-25,SELL,0.9721496343185765,0.971,2539866.922504182,2463670.9148290562,75000.0,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,Geopolitics,PARTIAL_EXIT,Israel withdraws from Gaza in 2025?,https://polymarket.com/event/israel-withdraws-from-gaza-in-2025,NO,6.963,0.63,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,8465.92,2025-12-31,NO
0xd1754bc54ec5b0af53339ad69d868bcdf5510242212a400db22bc865b103bbfb,2025-11-24,2025-11-27,SELL,0.9746601133248035,0.9801522457977404,1413008.0345680062,1370617.793530966,37500.0,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,Geopolitics,PARTIAL_EXIT,Israel and Lebanon normalize relations in 2025?,https://polymarket.com/event/israel-and-lebanon-normalize-relations-in-2025,NO,6.963,0.63,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,1333.09,2025-12-31,NO
0x89ff77ee1c11d6c8a480bfaab11eefd6f87b8f2076a065be0706453857dc0958,2025-11-27,2025-12-02,SELL,0.9750323773384533,0.981,1435908.2014407148,1392830.9553974932,37500.0,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,Geopolitics,PARTIAL_EXIT,Will Iran close the Strait of Hormuz in 2025?,https://polymarket.com/event/will-iran-close-the-strait-of-hormuz-in-2025,NO,6.963,0.63,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,3011.47,2025-12-31,NO
0x9778aa7639001067d7ddfc3212a678c764352b3ade5a6130100468ecaa46abef,2025-12-05,2025-12-07,SELL,0.84,0.89,125303.14841929195,121544.05396671318,27463.70376313249,0x0a26054fe174697bf6be759c4b600fdb830d1851,Geopolitics,PARTIAL_EXIT,Will a new country join the Abraham Accords in 2025?,https://polymarket.com/event/will-a-new-country-join-the-abraham-accords-in-2025,NO,8.441,0.712,0x0a26054fe174697bf6be759c4b600fdb830d1851,1441.41,2026-01-01,NO
0x7ddbf4c4ff0b3fdfe7e3230a4607d0485f3b12082f99f9ab1e7c48b8c8e729b1,2025-12-19,2025-12-24,SELL,0.9563838723225535,0.9855111133980372,1137388.6027087315,1103266.9446274696,52668.80837746879,0x3d7710f91dbc7efcaaf0a37f305c42a6deacabd5,Finance,PARTIAL_EXIT,Cap on gambling loss deductions repealed in 2025?,https://polymarket.com/event/will-the-cap-on-gambling-loss-deductions-be-repealed-in-2025,NO,7.414,0.605,0x3d7710f91dbc7efcaaf0a37f305c42a6deacabd5,4554.3,2025-12-31,NO
0x4f6be3a3a4d10c128211a0a430e44de4b66e7e9f7ab02a0393f1f4ad924ad980,2025-11-24,2025-12-26,SELL,0.9765583173387337,0.99284452,3876919.473475919,3760611.8892716416,93750.0,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,Geopolitics,CONFLICTING_SIGNAL,Israel withdraws from Gaza in 2025?,https://polymarket.com/event/israel-withdraws-from-gaza-in-2025,NO,6.963,0.63,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,8465.92,2025-12-31,NO
0xeda6b1f61168ca6363e1cf8b60777197c5b6f88e5c2fcf3153cf9c2442943dfc,2025-12-26,2025-12-27,SELL,0.7652070233779354,0.0,-124914.5020898726,-121167.06702717642,124914.50208987259,0x6d9fc316c3b8377060a44b852ba664adbfd59790,Geopolitics,,Thailand x Cambodia ceasefire by December 31?,https://polymarket.com/event/thailand-x-cambodia-ceasefire-by-december-31,NO,8.223,0.826,0x6d9fc316c3b8377060a44b852ba664adbfd59790,1454.28,2025-12-15,YES
0x07555b0e89abe017ddde72e5d04f26f6b26a7f221cca5fcae54ca99dd984774d,2025-12-27,2025-12-28,SELL,0.97,0.984,1790504.8771732287,1736789.7308580317,56305.184816768255,0x0aae5c4ec45339a64a1dd2fe4ba98c2a19eb251c,Geopolitics,PARTIAL_EXIT,Ukraine agrees not to join NATO in 2025?,https://polymarket.com/event/ukraine-agrees-not-to-join-nato-before-july,NO,8.228,0.634,0x0aae5c4ec45339a64a1dd2fe4ba98c2a19eb251c,1360.93,2025-12-31,NO
0xd1754bc54ec5b0af53339ad69d868bcdf5510242212a400db22bc865b103bbfb,2025-11-24,2026-01-01,SELL,0.9734044546330509,1.0,8184879.916211258,7939333.518724919,223628.87708037798,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,Geopolitics,,Israel and Lebanon normalize relations in 2025?,https://polymarket.com/event/israel-and-lebanon-normalize-relations-in-2025,NO,6.963,0.63,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,1333.09,2025-12-31,NO
0x89ff77ee1c11d6c8a480bfaab11eefd6f87b8f2076a065be0706453857dc0958,2025-11-27,2026-01-01,SELL,0.9750323773384533,1.0,1464445.1594706574,1420511.8046865375,37500.0,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,Geopolitics,,Will Iran close the Strait of Hormuz in 2025?,https://polymarket.com/event/will-iran-close-the-strait-of-hormuz-in-2025,NO,6.963,0.63,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,3011.47,2025-12-31,NO
