date,return,cumulative
2025-05-27,0.0,0.0
2025-05-28,0.0,0.0
2025-05-29,0.0,0.0
2025-05-30,0.0,0.0
2025-05-31,0.0,0.0
2025-06-01,0.5116461931791807,0.5116461931791807
2025-06-02,0.0,0.5116461931791807
2025-06-03,0.0,0.5116461931791807
2025-06-04,0.0,0.5116461931791807
2025-06-05,0.0,0.5116461931791807
2025-06-06,0.0,0.5116461931791807
2025-06-07,0.0,0.5116461931791807
2025-06-08,0.0,0.5116461931791807
2025-06-09,0.0,0.5116461931791807
2025-06-10,0.0,0.5116461931791807
2025-06-11,0.0,0.5116461931791807
2025-06-12,0.0,0.5116461931791807
2025-06-13,0.0,0.5116461931791807
2025-06-14,0.0,0.5116461931791807
2025-06-15,0.0,0.5116461931791807
2025-06-16,0.0,0.5116461931791807
2025-06-17,0.4221690941385696,1.1498164972116527
2025-06-18,0.0,1.1498164972116527
2025-06-19,0.0,1.1498164972116527
2025-06-20,0.5021237291939911,2.229290373874331
2025-06-21,0.22198868765728785,2.946156306035006
2025-06-22,0.0,2.946156306035006
2025-06-23,0.0051530184405419455,2.9664909222492652
2025-06-24,0.0,2.9664909222492652
2025-06-25,0.0,2.9664909222492652
2025-06-26,0.08155358341704888,3.2899724705498876
2025-06-27,0.0,3.2899724705498876
2025-06-28,0.0,3.2899724705498876
2025-06-29,-0.01873989937053866,3.209578818149401
2025-06-30,-0.017767610932753808,3.134784659517761
2025-07-01,-0.014333225943583994,3.075519856764828
2025-07-02,0.0,3.075519856764828
2025-07-03,0.0,3.075519856764828
2025-07-04,0.0,3.075519856764828
2025-07-05,0.0,3.075519856764828
2025-07-06,0.0,3.075519856764828
2025-07-07,0.0,3.075519856764828
2025-07-08,0.0,3.075519856764828
2025-07-09,0.0,3.075519856764828
2025-07-10,0.0,3.075519856764828
2025-07-11,0.0,3.075519856764828
2025-07-12,0.0,3.075519856764828
2025-07-13,0.0,3.075519856764828
2025-07-14,0.0032920874879918127,3.088936824692346
2025-07-15,0.0,3.088936824692346
2025-07-16,0.0,3.088936824692346
2025-07-17,0.0,3.088936824692346
2025-07-18,0.0,3.088936824692346
2025-07-19,0.0,3.088936824692346
2025-07-20,0.0,3.088936824692346
2025-07-21,0.0025715542869804153,3.0994517477130756
2025-07-22,0.0,3.0994517477130756
2025-07-23,0.0,3.0994517477130756
2025-07-24,-0.012855995922509189,3.046749212759953
2025-07-25,0.0017822874910193853,3.0539616832611474
2025-07-26,0.0,3.0539616832611474
