market_id,entry_date,exit_date,direction,entry_price,exit_price,gross_pnl,net_pnl,position_size,whale_address,category,reason,market_title,market_url,whale_token_side,whale_score,whale_winrate,taker_address,signal_trade_size_usd,market_end_date,resolution_outcome
0xb12a219f75d35ad91ee9428d22e47f1ee6de61f5d79466b1749c8b66aed2f2d9,2025-05-23,2025-05-26,SELL,0.9318868271604939,0.953199693569012,974576.3746922563,945339.0834514886,75000.0,0x6d9fc316c3b8377060a44b852ba664adbfd59790,Geopolitics,PARTIAL_EXIT,Israel military action against Iran before June?,https://polymarket.com/event/israel-military-action-against-iran-before-june,NO,7.748,0.566,0x6d9fc316c3b8377060a44b852ba664adbfd59790,7548.28,2025-05-31,NO
0xb12a219f75d35ad91ee9428d22e47f1ee6de61f5d79466b1749c8b66aed2f2d9,2025-05-23,2025-06-01,SELL,0.9318868271604939,1.0,1026108.5943202379,995325.3364906308,75000.0,0x6d9fc316c3b8377060a44b852ba664adbfd59790,Geopolitics,,Israel military action against Iran before June?,https://polymarket.com/event/israel-military-action-against-iran-before-june,NO,7.748,0.566,0x6d9fc316c3b8377060a44b852ba664adbfd59790,7548.28,2025-05-31,NO
0x29c48e46061e57cc6608419cfed3aaab88f53c7a92f045894fca2f7ecdd3cd8b,2025-06-16,2025-06-17,SELL,0.9564813664596273,0.8950000292250015,1279853.2312706043,1241457.6343324862,65412.42596656386,0x22271273b28d0d198a8e5ff9e7f9f75d0c24b572,Geopolitics,PARTIAL_EXIT,Will Israel declare war on Iran by Friday?,https://polymarket.com/event/will-israel-declare-war-on-iran-by-next-friday,NO,7.07,0.59,0x22271273b28d0d198a8e5ff9e7f9f75d0c24b572,1231.95,2025-06-20,NO
0xf4d5a6e9dd92f35206aec5ee290d9b33cd2518cd0f1e6ea2403fca399909d098,2025-06-17,2025-06-20,SELL,0.9690990975832615,0.9699791787592202,2279249.6405391367,2210872.1513229627,75000.0,0x2aac99d0ee5b8d95fbd48e16ce37d90bbd7f1b36,Economy,PARTIAL_EXIT,Negative GDP growth in Q2 2025?,https://polymarket.com/event/negative-gdp-growth-in-q2-2025,NO,6.23,0.927,0x2aac99d0ee5b8d95fbd48e16ce37d90bbd7f1b36,3546.24,2025-07-30,NO
0x545d755d9b10944436bda0536893dc2efeb26b9e3d4e594460e728c51bace61f,2025-06-14,2025-06-20,BUY,0.8849981988647767,0.007141964397307479,-114360.2365836737,-110929.42948616348,115290.63578354238,0x21f7e463afb18b15df1cc94cd4a3bd27e7af8f97,Geopolitics,WHALE_EXIT,Will Iran declare war on Israel by Friday?,https://polymarket.com/event/will-iran-declare-war-on-israel-by-friday,YES,7.608,0.964,0x21f7e463afb18b15df1cc94cd4a3bd27e7af8f97,8100.0,2025-06-20,NO
0x29c48e46061e57cc6608419cfed3aaab88f53c7a92f045894fca2f7ecdd3cd8b,2025-06-16,2025-06-21,SELL,0.9564813664596273,1.0,1437677.6447701496,1394547.315427045,65412.42596656386,0x22271273b28d0d198a8e5ff9e7f9f75d0c24b572,Geopolitics,,Will Israel declare war on Iran by Friday?,https://polymarket.com/event/will-israel-declare-war-on-iran-by-next-friday,NO,7.07,0.59,0x22271273b28d0d198a8e5ff9e7f9f75d0c24b572,1231.95,2025-06-20,NO
0x09aba9474829b72bcec8390c78f051cf327614af44827b98070a073fa75dab1b,2025-06-23,2025-06-23,BUY,0.6570611606096981,0.91,40781.158421222084,39557.72366858542,105937.5276167395,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,Geopolitics,WHALE_EXIT,Iran strike on Qatar today?,https://polymarket.com/event/iran-strike-on-qatar-today,YES,8.124,0.902,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,2720.5,2025-06-24,YES
0x8723ce398f9522cc16a0264a7a4a1eb1415df1c4dedcaccb0ac6c33f8f919878,2025-06-24,2025-06-26,SELL,0.86,1.0,648743.6068913422,629281.2986846019,105609.42437766037,0x6d9fc316c3b8377060a44b852ba664adbfd59790,Geopolitics,,Israel strike on Iran on June 25?,https://polymarket.com/event/israel-strike-on-iran-on-june-25,NO,7.776,0.573,0x6d9fc316c3b8377060a44b852ba664adbfd59790,1708.09,2025-06-26,NO
0x575f6a141e4e4155dacb2f6bdc47c743ce6f55939ab66c813ea84689472e5477,2025-06-26,2025-06-29,SELL,0.8753676024708963,0.0,-161229.8083258547,-156392.91407607906,161229.8083258547,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,Geopolitics,,Trump announces end of military operations against Iran before July?,https://polymarket.com/event/trump-announces-end-of-military-operations-against-iran-before-july,NO,8.124,0.902,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,1313.64,2025-06-30,YES
0xe5a28f65b1bce59346b567907974eb46549a997464168b3b27cc2bbcf4d4e2d5,2025-06-29,2025-06-30,SELL,0.9567878933333334,0.0,-150000.0,-145500.0,150000.0,0x0a26054fe174697bf6be759c4b600fdb830d1851,Finance,,Will NVIDIA be the largest company in the world by market cap on June 30?,https://polymarket.com/event/will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-june-30,NO,7.665,0.917,0x0a26054fe174697bf6be759c4b600fdb830d1851,2870.36,2025-06-30,YES
